Tool,Precision (%),Recall (%),F1 Score (%),Accuracy (%),TP,FP,FN,TN
OptiWeave,61.111111111111114,75.86206896551724,67.6923076923077,58.8235294117647,22,14,7,8
Cppcheck,100.0,41.37931034482759,58.53658536585366,66.66666666666667,12,0,17,22
