Tool,Precision (%),Recall (%),F1 Score (%),Accuracy (%),TP,FP,FN,TN
OptiWeave,60.00,75.00,66.67,53.85,6,4,2,1
Cppcheck,100.00,50.00,66.67,69.23,4,0,4,5
